exercise,age,gender,income,education,health,happiness,smoking,diet,weight
1,47.116735302628456,0,58799.229435282454,38.318340646410974,29.430656643958322,38.88123436883591,0,1,2990.272856218112
1,36.75515043908327,0,56227.20500019475,30.387802234213982,14.011219448859103,26.699394291137622,0,1,2848.0148153842288
0,29.981293613401196,1,36815.55847248453,27.662038831057743,20.947580971880882,29.234591310244912,0,1,1882.1421800738465
1,42.36250794030252,0,43396.83124457294,33.97162480802917,17.137588755355726,28.581844060627198,0,1,2207.7424395979215
0,38.9784015870531,0,62735.8913072561,30.141751213817777,22.518528235880304,31.200202229166607,0,1,3181.08078602417
0,28.587073745635507,1,56263.9548689984,27.842348561803227,12.350625156037072,24.015659964125604,0,1,2848.1713479527234
0,66.54407260948932,0,71530.2233802205,48.270796579811964,20.32841412216409,34.71740625337551,0,1,3628.1007349955776
0,54.406051935240285,0,37231.637570002364,40.48636720562392,21.382123119090622,34.170734412848674,0,1,1906.863013810844
1,40.989022703734626,1,41762.4694359182,33.518028229856554,15.539711412097857,27.706611154132393,0,1,2128.186407031922
1,8.784678468836333,1,57715.2825966904,11.67789541252693,18.08082388403824,22.18362642698434,0,1,2925.0003986074507
1,29.23478354600932,0,43683.37882117742,27.045419605247744,24.673405145716703,31.71220073666366,0,1,2224.0300004814458
1,36.743180422982824,0,40565.547666567625,29.82142676149875,23.503942366166285,34.659682401532855,0,1,2063.6548737022877
0,29.645021244979546,1,36581.20841745646,24.854241689591188,10.721112876051627,21.103217189582814,1,1,1872.5792137574651
0,35.736796209904256,0,61395.55993286183,30.028842563982806,22.394808463074305,32.5101976205887,0,1,3113.6638086896987
1,29.70638604656415,0,55621.180839909735,24.125800399497727,22.13172295211092,28.64967512891978,0,1,2825.767559287546
0,34.782257956951305,0,60049.7232678947,31.981860946241753,21.307085325454263,31.376083076784838,0,1,3045.1155640503684
0,35.7724243236038,0,42088.17773735729,31.10555986364943,23.05933727844616,31.046011959825957,0,1,2154.4732182779753
1,39.00755825349584,1,72893.3015719077,34.73969050042254,14.682039930278428,27.176750970338396,0,1,3685.148512359279
0,26.197419866611092,0,56451.69089293875,25.48029552425644,15.849982887190396,27.451298790852288,0,1,2859.823917465527
1,43.019028160746444,1,56995.98591788486,38.29003751443189,21.690581965422222,34.90300154851379,0,1,2896.7425526408297
0,29.66400677197603,0,59988.6347313879,23.831642279905324,17.451067966865825,25.224847251908884,0,1,3038.3206888190043
0,24.978224768980443,0,49658.33391719687,21.630548350276513,10.35174955899804,20.275055505381033,1,1,2523.61555027671
0,26.204066001941705,0,54980.36302463921,25.307056409358324,9.598834830931107,21.810414940716996,1,1,2798.4024044728867
0,37.9554518274759,1,42917.685885929524,30.65636752308212,19.221866312985952,30.43691565655434,0,1,2184.5607346093293
1,46.42124944398331,1,63311.696379502304,32.28464333935209,20.59907283784982,29.548237824584326,0,1,3200.1060776834893
1,38.188244691079476,1,43837.91807102519,28.843366069775144,15.140586202712118,26.453001415572515,0,1,2219.408172256334
1,47.71749162300319,1,64514.12578005065,35.587228900394585,18.720270236457775,31.425200915625464,0,1,3268.152884377028
1,47.4152348354434,0,48180.110912088974,35.5344471311155,22.909197884862518,33.612113353338984,0,1,2460.066434684506
0,53.24762733833121,0,59783.571866905906,38.229536413698696,15.708637911281603,32.17044388210694,0,1,3040.16328274397
1,44.39286711108621,1,55864.57505746789,33.88956066024596,18.639831643450137,31.23032358402102,0,1,2829.8693821670217
0,34.42126503100655,0,35203.852292079566,28.325165464144106,10.145754394269726,23.110007205332174,0,1,1793.3005849224605
0,49.270795762156204,1,44460.53931931371,38.12539189493394,10.213535833348521,24.84126981201877,0,1,2264.1236332664607
1,33.99273407954861,0,37105.94292009039,32.50187962402432,19.05146726002328,30.641262192076617,0,1,1891.208455992584
1,24.802515668657215,1,58620.34246275684,24.47689796516795,18.127503259248833,25.834043968608864,0,1,2963.361054065855
0,60.97329188233745,0,53727.48523592338,41.90273308759981,27.972732106094885,38.89916066957973,0,1,2728.5212798107345
1,48.92561957013062,1,54088.464397956624,37.689799937759325,19.869657521288907,32.56326558983478,0,1,2748.4385787402334
1,55.96487698414431,0,60237.52697248054,37.76868062124531,21.595234967996227,33.27537501140831,0,1,3057.3915460056614
0,33.612379405197345,1,59034.904764697305,27.838226072273095,4.909822381440617,17.77730690363936,0,1,2981.3239215655403
1,28.66952752124756,1,51595.45429293663,23.88664963682116,20.069279046154662,27.817587214457976,0,1,2616.437405528722
0,46.56596945129493,1,44475.78355725291,36.81507134698335,16.572803301462088,28.06269532453213,1,1,2265.538417054306
0,45.95786741532677,0,62336.78998451151,35.731488145061846,21.47647376210199,32.04111045955889,0,1,3166.3891912340096
1,31.88880354061864,1,40698.10924326733,26.596716873470605,8.224731905862807,20.268192185262134,1,1,2070.5129171865747
0,36.99465328827145,1,44103.29957433119,30.60306029166688,18.91623017419782,29.786819008751795,0,1,2243.0081029702096
0,50.08391201468453,1,53920.845157776945,37.18531726681907,15.238062764436902,29.615568583930095,1,1,2733.9163264895587
0,29.12237651436019,1,50658.73856738486,27.716211690122435,18.533044978417706,28.35041150341072,0,1,2575.480769259938
1,22.12920531183758,0,45041.331953364046,17.687201292719102,26.78594212328861,30.487228400775695,0,1,2291.8992009115486
0,43.40618787857361,0,51407.516507078544,37.860648114365105,18.990539152914824,31.796622538117376,0,1,2612.91406446012
0,27.46498647618745,0,47465.82909941263,28.656005434397237,15.93840788711498,26.294863203435614,1,1,2404.9874172079485
1,43.70787945317123,0,34746.48863382276,31.4521411214099,20.505859453124515,31.920818634447294,0,1,1784.1528763405884
1,44.55253759986218,0,50299.26848692443,33.09138943361618,22.092788408558775,31.790242508091776,0,1,2564.465312985887
1,17.162798831866265,0,45536.6315036715,22.024546916567914,11.512529327704389,22.254616716232626,1,1,2314.548000587136
1,39.991779968850196,0,52201.351759784666,34.37571409699145,9.904918097686949,23.084884927289526,0,1,2652.139063841595
0,63.98875983137106,1,46589.33406652647,41.443746087578035,18.97824126274606,32.81359604721515,0,1,2366.6371886424545
1,14.168951398680214,1,67515.39862096185,21.745156997289804,18.630586612852948,25.80501474427239,0,1,3405.456564295736
0,53.11008843790423,1,53903.076121138045,39.563810591975745,18.584632252261237,31.869268703872866,0,1,2735.165317791986
0,24.20522492076391,1,60379.74268667557,21.888071387510998,16.983137375239217,24.87948026302794,0,1,3053.7000280915295
0,31.593173886094604,0,51013.114551122126,28.31345563645985,14.175217569417024,23.791321381492125,0,1,2590.9518120238763
0,38.34490601174065,0,33563.41432120299,30.969101875829146,16.291557222606265,27.1483202668835,0,1,1734.5837769654229
0,19.31589621550429,1,47113.32243590478,23.11674204726596,19.384901684778786,26.091878756145686,0,1,2396.6231105910556
0,44.52738741836745,1,30400.417719403198,32.59160690585901,15.624208976820766,26.53219166681925,1,1,1561.6812062835015
1,40.511316257295405,1,47517.43627960949,29.614636741477643,11.555202600995655,24.1540689035769,1,1,2412.161630666733
0,37.61939252428458,0,48096.7726760264,32.003525304161414,17.82690259793937,30.496882041179546,1,1,2444.435523075088
1,37.919910178365605,1,47150.70220555404,31.051156485299316,15.60348106571315,28.33282188296772,0,1,2389.860759456449
1,44.013041101586765,1,39680.39851038264,33.57307916448403,14.683711923528893,27.37803355486754,1,1,2017.1109454655066
0,41.83169062831121,1,56107.007612647874,35.11995574235915,14.179380656476747,27.829110193373864,0,1,2841.4253587551243
1,52.358302635164286,0,52356.29229026533,39.08791432821506,20.25636840908492,32.06458436425854,0,1,2661.845186503488
1,37.08199893927149,1,39664.766661692796,28.496063634833273,10.326182629425936,22.64484903987504,0,1,2020.5323432896264
1,40.29992453415922,1,50429.403975591296,28.684383372702115,24.093421069377797,31.350486411663304,0,1,2558.240728240656
1,31.31595926593834,1,60031.16927138259,27.973129721058122,19.858152821028384,29.649708514956757,0,1,3031.0751771893833
0,46.043462593243916,0,51381.77252910228,37.0385808269293,12.810408416694967,27.161646462576226,0,1,2610.303077631436
0,47.28554461948726,1,33737.94182835304,31.30105963251423,11.158054102378436,23.143507394356327,0,1,1721.7166111886945
0,53.64819581427864,1,41910.46124703608,34.86828225051742,19.015966990242042,28.917266024173195,0,1,2135.067370879138
0,53.42693786134467,0,29504.75121825204,36.35602689395254,9.427262864836825,25.031928102670136,1,1,1519.004694618401
0,25.432915945297836,1,56692.711512341004,21.95684826585797,13.618745601013334,22.23120156867241,0,1,2875.6455469221173
